IP; Estado; Puerto 445; Puerto 3389
192.168.152.82;No Vulnerable;open;Not Scanned
192.168.130.178;No Vulnerable;open;Not Scanned
172.28.34.154;No Vulnerable;open;Not Scanned
192.168.26.195;No Vulnerable;open;Not Scanned
192.168.196.95;No Vulnerable;open;Not Scanned
192.168.16.130;No Vulnerable;open;Not Scanned
192.168.85.64;No Vulnerable;open;Not Scanned
192.168.40.183;No Vulnerable;open;Not Scanned
192.168.184.67;No Vulnerable;open;Not Scanned
192.168.146.29;No Vulnerable;open;Not Scanned
172.28.122.19;No Vulnerable;open;Not Scanned
192.168.37.33;No Vulnerable;open;Not Scanned
172.28.122.23;No Vulnerable;open;Not Scanned
192.168.40.207;No Vulnerable;open;Not Scanned
172.28.122.26;No Vulnerable;open;Not Scanned
192.168.217.33;No Vulnerable;open;Not Scanned
172.28.18.46;Vulnerable;open;Not Scanned
172.28.171.103;No Vulnerable;open;Not Scanned
192.168.18.35;No Vulnerable;open;Not Scanned
192.168.184.27;No Vulnerable;open;Not Scanned
172.28.39.154;No Vulnerable;open;Not Scanned
172.28.159.233;No Vulnerable;open;Not Scanned
172.28.129.54;No Vulnerable;open;Not Scanned
172.28.18.43;No Vulnerable;open;Not Scanned
172.28.18.42;No Vulnerable;open;Not Scanned
172.28.122.35;No Vulnerable;open;Not Scanned
192.168.85.31;Vulnerable;open;Not Scanned
192.168.22.27;No Vulnerable;open;Not Scanned
172.28.18.64;No Vulnerable;open;Not Scanned
192.168.167.74;No Vulnerable;open;Not Scanned
172.28.159.174;No Vulnerable;open;Not Scanned
192.168.180.57;No Vulnerable;open;Not Scanned
172.28.18.162;No Vulnerable;open;Not Scanned
172.28.171.245;No Vulnerable;open;Not Scanned
192.168.12.207;Vulnerable;open;Not Scanned
192.168.40.51;No Vulnerable;open;Not Scanned
172.28.141.140;No Vulnerable;open;Not Scanned
192.168.6.69;No Vulnerable;open;Not Scanned
10.81.181.72;No Vulnerable;open;Not Scanned
192.168.37.41;No Vulnerable;open;Not Scanned
172.28.100.102;No Vulnerable;open;Not Scanned
192.168.53.40;No Vulnerable;open;Not Scanned
172.28.18.237;No Vulnerable;open;Not Scanned
192.168.167.59;Vulnerable;open;Not Scanned
172.28.141.34;No Vulnerable;open;Not Scanned
192.168.16.166;No Vulnerable;open;Not Scanned
192.168.40.106;Vulnerable;open;Not Scanned
192.168.53.36;No Vulnerable;open;Not Scanned
10.81.181.71;No Vulnerable;open;Not Scanned
172.28.18.146;No Vulnerable;open;Not Scanned
192.168.130.155;No Vulnerable;open;Not Scanned
172.28.141.239;No Vulnerable;open;Not Scanned
192.168.9.20;No Vulnerable;open;Not Scanned
192.168.22.161;No Vulnerable;open;Not Scanned
172.28.100.103;No Vulnerable;open;Not Scanned
192.168.212.108;No Vulnerable;open;Not Scanned
192.168.9.167;Vulnerable;open;Not Scanned
192.168.183.106;No Vulnerable;open;Not Scanned
192.168.40.101;No Vulnerable;open;Not Scanned
172.28.159.46;No Vulnerable;open;Not Scanned
172.28.41.23;No Vulnerable;open;Not Scanned
172.28.18.224;No Vulnerable;open;Not Scanned
192.168.167.23;No Vulnerable;open;Not Scanned
172.28.142.183;No Vulnerable;open;Not Scanned
192.168.167.20;No Vulnerable;open;Not Scanned
172.28.18.122;No Vulnerable;open;Not Scanned
172.28.141.230;No Vulnerable;open;Not Scanned
192.168.22.22;No Vulnerable;open;Not Scanned
192.168.6.153;No Vulnerable;open;Not Scanned
172.28.122.16;Vulnerable;open;Not Scanned
172.28.41.129;No Vulnerable;open;Not Scanned
172.28.100.12;No Vulnerable;open;Not Scanned
172.28.129.206;No Vulnerable;open;Not Scanned
192.168.6.157;Vulnerable;open;Not Scanned
172.28.18.63;No Vulnerable;open;Not Scanned
192.168.26.134;No Vulnerable;open;Not Scanned
192.168.167.28;Vulnerable;open;Not Scanned
172.28.39.109;No Vulnerable;open;Not Scanned
172.28.72.167;No Vulnerable;open;Not Scanned
192.168.40.176;Vulnerable;open;Not Scanned
192.168.167.24;No Vulnerable;open;Not Scanned
172.28.39.84;No Vulnerable;open;Not Scanned
172.28.159.168;No Vulnerable;open;Not Scanned
172.28.122.126;No Vulnerable;open;Not Scanned
10.81.181.34;No Vulnerable;open;Not Scanned
192.168.26.161;No Vulnerable;open;Not Scanned
192.168.183.67;No Vulnerable;open;Not Scanned
192.168.14.65;No Vulnerable;open;Not Scanned
192.168.41.49;No Vulnerable;open;Not Scanned
172.28.37.164;No Vulnerable;open;Not Scanned
192.168.18.41;No Vulnerable;open;Not Scanned
172.28.171.72;No Vulnerable;open;Not Scanned
172.28.129.174;No Vulnerable;open;Not Scanned
172.28.171.233;No Vulnerable;open;Not Scanned
172.28.171.37;No Vulnerable;open;Not Scanned
192.168.130.170;No Vulnerable;open;Not Scanned
172.28.122.165;No Vulnerable;open;Not Scanned
172.28.122.78;No Vulnerable;open;Not Scanned
192.168.53.29;No Vulnerable;open;Not Scanned
172.28.100.58;No Vulnerable;open;Not Scanned
172.28.122.124;Vulnerable;open;Not Scanned
192.168.6.78;Vulnerable;open;Not Scanned
192.168.57.20;Vulnerable;open;Not Scanned
172.28.41.193;No Vulnerable;open;Not Scanned
172.28.122.164;No Vulnerable;open;Not Scanned
192.168.53.98;No Vulnerable;open;Not Scanned
172.28.130.34;No Vulnerable;open;Not Scanned
172.28.41.213;No Vulnerable;open;Not Scanned
192.168.37.26;No Vulnerable;open;Not Scanned
172.28.168.133;No Vulnerable;open;Not Scanned
172.28.31.88;No Vulnerable;open;Not Scanned
192.168.57.27;No Vulnerable;open;Not Scanned
172.28.31.21;No Vulnerable;open;Not Scanned
172.28.41.32;No Vulnerable;open;Not Scanned
172.28.18.19;No Vulnerable;open;Not Scanned
192.168.37.80;No Vulnerable;open;Not Scanned
172.28.142.197;No Vulnerable;open;Not Scanned
192.168.9.25;No Vulnerable;open;Not Scanned
172.28.171.230;No Vulnerable;open;Not Scanned
192.168.22.50;No Vulnerable;open;Not Scanned
172.28.141.167;No Vulnerable;open;Not Scanned
172.28.142.179;No Vulnerable;open;Not Scanned
192.168.57.35;No Vulnerable;open;Not Scanned
172.28.41.108;No Vulnerable;open;Not Scanned
172.28.122.39;No Vulnerable;open;Not Scanned
192.168.40.48;No Vulnerable;open;Not Scanned
172.28.171.167;No Vulnerable;open;Not Scanned
192.168.53.81;No Vulnerable;open;Not Scanned
192.168.22.40;No Vulnerable;open;Not Scanned
172.28.129.60;No Vulnerable;open;Not Scanned
192.168.12.223;No Vulnerable;open;Not Scanned
172.28.18.115;Vulnerable;open;Not Scanned
172.28.122.148;No Vulnerable;open;Not Scanned
192.168.37.203;No Vulnerable;open;Not Scanned
192.168.130.70;No Vulnerable;open;Not Scanned
172.28.171.174;No Vulnerable;open;Not Scanned
192.168.217.37;No Vulnerable;open;Not Scanned
192.168.41.16;No Vulnerable;open;Not Scanned
172.28.18.196;No Vulnerable;open;Not Scanned
172.28.39.143;No Vulnerable;open;Not Scanned
172.28.72.144;No Vulnerable;open;Not Scanned
192.168.40.20;No Vulnerable;open;Not Scanned
192.168.16.198;No Vulnerable;open;Not Scanned
192.168.14.43;No Vulnerable;open;Not Scanned
172.28.72.153;No Vulnerable;open;Not Scanned
172.28.18.235;No Vulnerable;open;Not Scanned
192.168.26.102;Vulnerable;open;Not Scanned
192.168.9.80;No Vulnerable;open;Not Scanned
172.28.39.55;No Vulnerable;open;Not Scanned
192.168.6.175;No Vulnerable;open;Not Scanned
172.28.171.163;No Vulnerable;open;Not Scanned
192.168.22.150;No Vulnerable;open;Not Scanned
172.28.100.135;No Vulnerable;open;Not Scanned
172.28.142.140;No Vulnerable;open;Not Scanned
10.81.181.43;No Vulnerable;open;Not Scanned
192.168.16.83;No Vulnerable;open;Not Scanned
192.168.182.172;No Vulnerable;open;Not Scanned
192.168.53.175;No Vulnerable;open;Not Scanned
192.168.44.21;Vulnerable;open;Not Scanned
172.28.112.87;No Vulnerable;open;Not Scanned
192.168.6.76;No Vulnerable;open;Not Scanned
192.168.6.147;No Vulnerable;open;Not Scanned
172.28.100.166;No Vulnerable;open;Not Scanned
192.168.37.42;No Vulnerable;open;Not Scanned
192.168.183.113;No Vulnerable;open;Not Scanned
192.168.183.91;No Vulnerable;open;Not Scanned
192.168.16.132;No Vulnerable;open;Not Scanned
192.168.152.125;Vulnerable;open;Not Scanned
192.168.53.51;No Vulnerable;open;Not Scanned
192.168.22.54;No Vulnerable;open;Not Scanned
192.168.214.182;No Vulnerable;open;Not Scanned
172.28.39.92;No Vulnerable;open;Not Scanned
172.28.141.143;No Vulnerable;open;Not Scanned
10.81.181.40;No Vulnerable;open;Not Scanned
192.168.14.62;No Vulnerable;open;Not Scanned
192.168.130.45;No Vulnerable;open;Not Scanned
172.28.100.107;No Vulnerable;open;Not Scanned
172.28.171.96;No Vulnerable;open;Not Scanned
172.28.122.49;No Vulnerable;open;Not Scanned
190.151.51.164;No Vulnerable;open;Not Scanned
192.168.146.71;No Vulnerable;open;Not Scanned
172.28.122.186;No Vulnerable;open;Not Scanned
192.168.6.195;No Vulnerable;open;Not Scanned
192.168.14.30;No Vulnerable;open;Not Scanned
192.168.6.85;No Vulnerable;open;Not Scanned
172.28.41.191;No Vulnerable;open;Not Scanned
172.28.159.211;No Vulnerable;open;Not Scanned
172.28.171.136;No Vulnerable;open;Not Scanned
192.168.200.184;No Vulnerable;open;Not Scanned
10.81.181.52;Vulnerable;open;Not Scanned
172.28.122.171;No Vulnerable;open;Not Scanned
192.168.200.58;No Vulnerable;open;Not Scanned
192.168.41.52;No Vulnerable;open;Not Scanned
192.168.37.57;No Vulnerable;open;Not Scanned
172.28.39.231;No Vulnerable;open;Not Scanned
192.168.40.47;No Vulnerable;open;Not Scanned
172.28.129.140;No Vulnerable;open;Not Scanned
192.168.22.24;No Vulnerable;open;Not Scanned
10.81.181.94;No Vulnerable;open;Not Scanned
192.168.41.139;No Vulnerable;open;Not Scanned
192.168.40.21;Vulnerable;open;Not Scanned
192.168.167.17;No Vulnerable;open;Not Scanned
192.168.26.130;No Vulnerable;open;Not Scanned
192.168.167.104;No Vulnerable;open;Not Scanned
172.28.122.138;No Vulnerable;open;Not Scanned
172.28.176.161;No Vulnerable;open;Not Scanned
172.28.33.143;No Vulnerable;open;Not Scanned
172.28.159.57;No Vulnerable;open;Not Scanned
192.168.158.171;Vulnerable;open;Not Scanned
172.28.176.208;No Vulnerable;open;Not Scanned
192.168.183.150;No Vulnerable;open;Not Scanned
192.168.37.198;No Vulnerable;open;Not Scanned
192.168.16.112;No Vulnerable;open;Not Scanned
172.28.82.68;No Vulnerable;open;Not Scanned
172.28.100.3;No Vulnerable;open;Not Scanned
172.28.39.60;No Vulnerable;open;Not Scanned
172.28.129.137;No Vulnerable;open;Not Scanned
192.168.26.172;No Vulnerable;open;Not Scanned
172.28.176.12;No Vulnerable;open;Not Scanned
192.168.41.71;No Vulnerable;open;Not Scanned
172.28.39.78;No Vulnerable;open;Not Scanned
192.168.57.38;No Vulnerable;open;Not Scanned
172.28.171.209;No Vulnerable;open;Not Scanned
10.81.181.30;No Vulnerable;open;Not Scanned
172.28.142.225;No Vulnerable;open;Not Scanned
172.28.39.81;No Vulnerable;open;Not Scanned
192.168.16.79;No Vulnerable;open;Not Scanned
172.28.100.156;No Vulnerable;open;Not Scanned
172.28.100.83;No Vulnerable;open;Not Scanned
192.168.85.74;Vulnerable;open;Not Scanned
172.28.122.63;Vulnerable;open;Not Scanned
192.168.167.141;No Vulnerable;open;Not Scanned
192.168.85.56;No Vulnerable;open;Not Scanned
172.28.129.86;No Vulnerable;open;Not Scanned
192.168.12.232;No Vulnerable;open;Not Scanned
192.168.22.51;No Vulnerable;open;Not Scanned
172.28.18.211;No Vulnerable;open;Not Scanned
192.168.74.5;Vulnerable;open;Not Scanned
192.168.85.52;No Vulnerable;open;Not Scanned
192.168.146.63;No Vulnerable;open;Not Scanned
192.168.40.204;No Vulnerable;open;Not Scanned
172.28.18.128;No Vulnerable;open;Not Scanned
172.28.100.128;No Vulnerable;open;Not Scanned
172.28.41.136;No Vulnerable;open;Not Scanned
192.168.53.25;Vulnerable;open;Not Scanned
192.168.200.139;No Vulnerable;open;Not Scanned
192.168.37.68;No Vulnerable;open;Not Scanned
172.28.171.128;No Vulnerable;open;Not Scanned
192.168.85.100;No Vulnerable;open;Not Scanned
192.168.183.71;No Vulnerable;open;Not Scanned
192.168.167.32;No Vulnerable;open;Not Scanned
10.81.181.99;No Vulnerable;open;Not Scanned
192.168.40.246;No Vulnerable;open;Not Scanned
10.81.181.98;No Vulnerable;open;Not Scanned
10.81.181.79;No Vulnerable;open;Not Scanned
172.28.72.203;Vulnerable;open;Not Scanned
172.28.41.86;No Vulnerable;open;Not Scanned
172.28.72.117;No Vulnerable;open;Not Scanned
192.168.26.3;No Vulnerable;open;Not Scanned
172.28.18.56;No Vulnerable;open;Not Scanned
192.168.183.87;No Vulnerable;open;Not Scanned
172.28.130.126;No Vulnerable;open;Not Scanned
10.81.181.32;No Vulnerable;open;Not Scanned
172.28.39.29;No Vulnerable;open;Not Scanned
10.81.181.96;No Vulnerable;open;Not Scanned
192.168.41.86;No Vulnerable;open;Not Scanned
172.28.142.187;No Vulnerable;open;Not Scanned
192.168.40.111;No Vulnerable;open;Not Scanned
172.28.41.49;No Vulnerable;open;Not Scanned
192.168.12.229;Vulnerable;open;Not Scanned
192.168.40.182;No Vulnerable;open;Not Scanned
172.28.171.231;No Vulnerable;open;Not Scanned
192.168.16.205;No Vulnerable;open;Not Scanned
192.168.196.103;No Vulnerable;open;Not Scanned
172.28.18.25;Vulnerable;open;Not Scanned
172.28.18.72;No Vulnerable;open;Not Scanned
192.168.16.27;No Vulnerable;open;Not Scanned
192.168.84.42;No Vulnerable;open;Not Scanned
192.168.41.43;No Vulnerable;open;Not Scanned
192.168.37.61;No Vulnerable;open;Not Scanned
172.28.122.81;No Vulnerable;open;Not Scanned
172.28.39.235;No Vulnerable;open;Not Scanned
172.28.122.131;No Vulnerable;open;Not Scanned
172.28.159.105;No Vulnerable;open;Not Scanned
192.168.146.69;No Vulnerable;open;Not Scanned
192.168.146.68;Vulnerable;open;Not Scanned
172.28.141.60;No Vulnerable;open;Not Scanned
10.81.181.42;No Vulnerable;open;Not Scanned
192.168.57.41;Vulnerable;open;Not Scanned
192.168.16.218;No Vulnerable;open;Not Scanned
192.168.57.29;No Vulnerable;open;Not Scanned
192.168.152.104;No Vulnerable;open;Not Scanned
172.28.129.100;No Vulnerable;open;Not Scanned
172.28.141.134;No Vulnerable;open;Not Scanned
192.168.6.156;No Vulnerable;open;Not Scanned
192.168.16.140;No Vulnerable;open;Not Scanned
172.28.72.107;No Vulnerable;open;Not Scanned
192.168.146.46;No Vulnerable;open;Not Scanned
172.28.72.54;No Vulnerable;open;Not Scanned
172.28.129.211;No Vulnerable;open;Not Scanned
192.168.6.134;No Vulnerable;open;Not Scanned
172.28.18.149;No Vulnerable;open;Not Scanned
172.28.141.225;No Vulnerable;open;Not Scanned
192.168.40.171;No Vulnerable;open;Not Scanned
172.28.37.183;No Vulnerable;open;Not Scanned
192.168.184.59;No Vulnerable;open;Not Scanned
192.168.152.69;Vulnerable;open;Not Scanned
192.168.53.127;No Vulnerable;open;Not Scanned
192.168.74.4;Vulnerable;open;Not Scanned
172.28.141.133;No Vulnerable;open;Not Scanned
172.28.129.218;No Vulnerable;open;Not Scanned
192.168.37.43;No Vulnerable;open;Not Scanned
172.28.159.170;No Vulnerable;open;Not Scanned
192.168.85.78;No Vulnerable;open;Not Scanned
192.168.53.105;No Vulnerable;open;Not Scanned
172.28.41.141;No Vulnerable;open;Not Scanned
192.168.16.89;No Vulnerable;open;Not Scanned
192.168.183.234;No Vulnerable;open;Not Scanned
172.28.171.45;No Vulnerable;open;Not Scanned
192.168.16.221;No Vulnerable;open;Not Scanned
192.168.37.77;No Vulnerable;open;Not Scanned
172.28.41.201;No Vulnerable;open;Not Scanned
192.168.53.115;No Vulnerable;open;Not Scanned
192.168.182.162;No Vulnerable;open;Not Scanned
172.28.122.149;No Vulnerable;open;Not Scanned
172.28.18.66;No Vulnerable;open;Not Scanned
172.28.18.193;Vulnerable;open;Not Scanned
192.168.183.51;No Vulnerable;open;Not Scanned
172.28.130.108;No Vulnerable;open;Not Scanned
172.28.72.154;No Vulnerable;open;Not Scanned
192.168.84.38;No Vulnerable;open;Not Scanned
192.168.37.62;No Vulnerable;open;Not Scanned
192.168.57.40;No Vulnerable;open;Not Scanned
192.168.183.31;No Vulnerable;open;Not Scanned
192.168.152.65;No Vulnerable;open;Not Scanned
192.168.40.210;No Vulnerable;open;Not Scanned
172.28.41.207;No Vulnerable;open;Not Scanned
192.168.200.146;No Vulnerable;open;Not Scanned
172.28.100.71;No Vulnerable;open;Not Scanned
172.28.171.169;No Vulnerable;open;Not Scanned
172.28.171.182;No Vulnerable;open;Not Scanned
172.28.129.37;No Vulnerable;open;Not Scanned
192.168.184.35;No Vulnerable;open;Not Scanned
192.168.16.107;No Vulnerable;open;Not Scanned
192.168.26.159;No Vulnerable;open;Not Scanned
192.168.40.90;No Vulnerable;open;Not Scanned
172.28.176.76;No Vulnerable;open;Not Scanned
192.168.41.45;Vulnerable;open;Not Scanned
192.168.41.74;No Vulnerable;open;Not Scanned
172.28.41.91;No Vulnerable;open;Not Scanned
172.28.171.33;No Vulnerable;open;Not Scanned
192.168.85.76;No Vulnerable;open;Not Scanned
172.28.100.34;No Vulnerable;open;Not Scanned
192.168.130.106;No Vulnerable;open;Not Scanned
172.28.141.248;No Vulnerable;open;Not Scanned
172.28.100.145;No Vulnerable;open;Not Scanned
172.28.129.219;No Vulnerable;open;Not Scanned
10.81.181.56;Vulnerable;open;Not Scanned
172.28.159.71;No Vulnerable;open;Not Scanned
172.28.142.167;No Vulnerable;open;Not Scanned
172.28.171.168;No Vulnerable;open;Not Scanned
172.28.130.100;No Vulnerable;open;Not Scanned
192.168.12.224;No Vulnerable;open;Not Scanned
172.28.70.53;No Vulnerable;open;Not Scanned
192.168.183.53;No Vulnerable;open;Not Scanned
172.28.18.176;No Vulnerable;open;Not Scanned
172.28.41.126;No Vulnerable;open;Not Scanned
192.168.180.58;No Vulnerable;open;Not Scanned
172.28.159.163;No Vulnerable;open;Not Scanned
192.168.41.32;No Vulnerable;open;Not Scanned
172.28.100.53;Vulnerable;open;Not Scanned
172.28.100.113;No Vulnerable;open;Not Scanned
172.28.129.192;Vulnerable;open;Not Scanned
192.168.37.47;No Vulnerable;open;Not Scanned
172.28.100.79;No Vulnerable;open;Not Scanned
192.168.12.204;Vulnerable;open;Not Scanned
192.168.37.66;No Vulnerable;open;Not Scanned
192.168.53.24;No Vulnerable;open;Not Scanned
172.28.41.30;No Vulnerable;open;Not Scanned
192.168.167.134;No Vulnerable;open;Not Scanned
172.28.142.189;No Vulnerable;open;Not Scanned
172.28.142.207;No Vulnerable;open;Not Scanned
192.168.9.44;No Vulnerable;open;Not Scanned
192.168.167.206;Vulnerable;open;Not Scanned
172.28.72.98;No Vulnerable;open;Not Scanned
172.28.159.75;No Vulnerable;open;Not Scanned
172.28.18.51;No Vulnerable;open;Not Scanned
172.28.171.170;No Vulnerable;open;Not Scanned
172.28.39.114;No Vulnerable;open;Not Scanned
192.168.12.30;No Vulnerable;open;Not Scanned
172.28.130.138;No Vulnerable;open;Not Scanned
192.168.114.192;No Vulnerable;open;Not Scanned
