IP; Estado; Puerto 445; Puerto 3389
172.28.120.114;No Vulnerable;open;Not Scanned
172.28.82.80;No Vulnerable;open;Not Scanned
172.28.37.172;No Vulnerable;open;Not Scanned
10.81.181.36;No Vulnerable;open;Not Scanned
172.28.171.36;No Vulnerable;open;Not Scanned
192.168.6.155;No Vulnerable;open;Not Scanned
10.81.181.210;No Vulnerable;open;Not Scanned
172.28.159.175;No Vulnerable;open;Not Scanned
172.28.31.94;No Vulnerable;open;Not Scanned
172.28.129.172;No Vulnerable;open;Not Scanned
192.168.6.82;No Vulnerable;open;Not Scanned
192.168.16.72;No Vulnerable;open;Not Scanned
192.168.167.205;Vulnerable;open;Not Scanned
192.168.180.26;Vulnerable;open;Not Scanned
172.28.18.141;No Vulnerable;open;Not Scanned
172.28.171.149;No Vulnerable;open;Not Scanned
172.28.18.50;No Vulnerable;open;Not Scanned
172.28.159.11;No Vulnerable;open;Not Scanned
172.28.122.105;No Vulnerable;open;Not Scanned
192.168.167.145;No Vulnerable;open;Not Scanned
192.168.22.41;No Vulnerable;open;Not Scanned
192.168.130.24;No Vulnerable;open;Not Scanned
172.28.100.105;No Vulnerable;open;Not Scanned
192.168.40.174;Vulnerable;open;Not Scanned
172.28.18.99;No Vulnerable;open;Not Scanned
192.168.180.222;No Vulnerable;open;Not Scanned
192.168.53.117;No Vulnerable;open;Not Scanned
192.168.146.188;No Vulnerable;open;Not Scanned
172.28.18.17;No Vulnerable;open;Not Scanned
172.28.18.198;No Vulnerable;open;Not Scanned
192.168.167.208;Vulnerable;open;Not Scanned
172.28.141.233;No Vulnerable;open;Not Scanned
172.28.100.176;No Vulnerable;open;Not Scanned
192.168.130.122;No Vulnerable;open;Not Scanned
172.28.37.188;No Vulnerable;open;Not Scanned
172.28.171.111;No Vulnerable;open;Not Scanned
10.81.181.41;No Vulnerable;open;Not Scanned
192.168.40.15;No Vulnerable;open;Not Scanned
192.168.53.125;No Vulnerable;open;Not Scanned
172.28.18.105;No Vulnerable;open;Not Scanned
172.28.100.41;No Vulnerable;open;Not Scanned
192.168.26.156;No Vulnerable;open;Not Scanned
192.168.12.209;No Vulnerable;open;Not Scanned
192.168.130.124;No Vulnerable;open;Not Scanned
172.28.171.113;No Vulnerable;open;Not Scanned
192.168.40.14;No Vulnerable;open;Not Scanned
172.28.159.42;No Vulnerable;open;Not Scanned
192.168.26.143;No Vulnerable;open;Not Scanned
172.28.18.121;No Vulnerable;open;Not Scanned
192.168.37.21;No Vulnerable;open;Not Scanned
172.28.41.59;No Vulnerable;open;Not Scanned
10.81.181.95;No Vulnerable;open;Not Scanned
172.28.130.150;No Vulnerable;open;Not Scanned
172.28.81.218;Vulnerable;open;Not Scanned
10.81.181.39;No Vulnerable;open;Not Scanned
192.168.26.186;No Vulnerable;open;Not Scanned
192.168.37.24;Vulnerable;open;Not Scanned
172.28.41.143;No Vulnerable;open;Not Scanned
192.168.152.113;No Vulnerable;open;Not Scanned
192.168.130.147;No Vulnerable;open;Not Scanned
172.28.18.27;No Vulnerable;open;Not Scanned
172.28.18.131;No Vulnerable;open;Not Scanned
192.168.152.43;No Vulnerable;open;Not Scanned
192.168.184.70;No Vulnerable;open;Not Scanned
192.168.40.66;No Vulnerable;open;Not Scanned
192.168.26.128;Vulnerable;open;Not Scanned
172.28.122.184;No Vulnerable;open;Not Scanned
192.168.6.130;No Vulnerable;open;Not Scanned
192.168.41.57;No Vulnerable;open;Not Scanned
172.28.129.187;No Vulnerable;open;Not Scanned
172.28.81.59;No Vulnerable;open;Not Scanned
172.28.171.173;No Vulnerable;open;Not Scanned
192.168.152.77;No Vulnerable;open;Not Scanned
172.28.129.26;No Vulnerable;open;Not Scanned
172.28.32.172;No Vulnerable;open;Not Scanned
192.168.41.53;No Vulnerable;open;Not Scanned
172.28.122.70;Vulnerable;open;Not Scanned
192.168.130.67;Vulnerable;open;Not Scanned
172.28.33.160;No Vulnerable;open;Not Scanned
192.168.12.236;No Vulnerable;open;Not Scanned
172.28.129.155;No Vulnerable;open;Not Scanned
192.168.40.91;No Vulnerable;open;Not Scanned
172.28.142.166;No Vulnerable;open;Not Scanned
172.28.171.138;No Vulnerable;open;Not Scanned
192.168.16.139;No Vulnerable;open;Not Scanned
172.28.18.21;No Vulnerable;open;Not Scanned
172.28.171.42;No Vulnerable;open;Not Scanned
172.28.171.212;No Vulnerable;open;Not Scanned
192.168.40.34;No Vulnerable;open;Not Scanned
10.81.181.65;No Vulnerable;open;Not Scanned
10.81.181.31;Vulnerable;open;Not Scanned
172.28.39.70;No Vulnerable;open;Not Scanned
192.168.53.76;No Vulnerable;open;Not Scanned
192.168.22.49;No Vulnerable;open;Not Scanned
172.28.159.161;No Vulnerable;open;Not Scanned
192.168.40.57;No Vulnerable;open;Not Scanned
192.168.40.50;No Vulnerable;open;Not Scanned
172.28.100.170;No Vulnerable;open;Not Scanned
172.28.70.42;No Vulnerable;open;Not Scanned
192.168.9.202;Vulnerable;open;Not Scanned
192.168.18.34;No Vulnerable;open;Not Scanned
172.28.171.11;No Vulnerable;open;Not Scanned
172.28.171.135;No Vulnerable;open;Not Scanned
192.168.200.96;No Vulnerable;open;Not Scanned
192.168.57.28;No Vulnerable;open;Not Scanned
172.28.39.89;No Vulnerable;open;Not Scanned
